time,status,pump,speed,elevation,flow,power,pressure,dynamic_pressure,total_pressure,power_out,calc_eff
2020-08-04 12:59:59.998,1,2,285.0,25.009119982910157,3.1264812018127444,840.4039199123383,223970.4803147512,3585.932160491394,220384.54815425983,689.0281469742888,0.8198773597416831
2020-08-04 13:59:59.998,1,2,285.87158203125,25.016945086669924,3.2257538173324587,863.8934101753235,223893.76190197593,3817.269878703129,220076.4920232728,709.9125842492085,0.8217594623220181
2020-08-04 14:59:59.998,1,2,295.1074523925781,24.77214375,4.012244672859192,970.9014199123383,226293.828478875,5905.616535022998,220388.211943852,884.2514293326827,0.9107530498951386
2020-08-04 15:59:59.998,1,2,289.0918884277344,24.966908605957034,3.401320430708313,889.9929101753237,224384.3265639924,4244.099148775846,220140.22741521653,748.7674531281504,0.8413184471106038
2020-08-04 16:59:59.998,1,2,290.0,24.967801574707032,3.448846365161133,897.8228398246766,224375.57177335178,4363.531569976461,220012.04020337533,758.7877251470961,0.8451419272150275
2020-08-04 17:59:59.998,1,2,362.1730651855469,24.204871398925782,6.379558060958862,1931.3630000000003,231855.44602693577,14930.405887413595,216925.04013952217,1383.8858884459132,0.7165332920046169
2020-08-04 18:59:59.998,1,2,321.0472717285156,22.703830462646486,4.619616695617676,1271.0456699123383,246571.86151194907,7828.928199981059,238742.93331196802,1102.9008406887049,0.8677114180836397
2020-08-04 19:59:59.998,1,2,288.2945556640625,23.777950946044925,2.949505333053589,809.0845000000002,236041.0339158431,3191.455528759281,232849.5783870838,686.7910732519833,0.8488496235584579
2020-08-13 12:59:59.998,1,2,288.7794494628906,24.43309700317383,3.0757847770111084,856.0635800876619,229617.8902513033,3470.5820153033965,226147.3082359999,695.5804480343273,0.8125336297604193
2020-08-13 13:59:59.998,1,2,291.3999938964844,24.24046224975586,3.138031346621704,895.2128300876618,231506.50834267857,3612.4760852922745,227894.0322573863,715.138616931696,0.7988475956736093
2020-08-13 14:59:59.998,1,2,290.0,24.330014923095703,3.157151559425354,848.2337500000001,230628.52139588047,3656.632265816655,226971.88913006382,716.5846537126995,0.8447962058957208
2020-08-13 15:59:59.998,1,2,296.16729736328125,24.294126416015626,3.462257689755249,965.6815000000001,230980.37734368455,4397.533966788539,226582.84337689602,784.4881918482674,0.8123674232635371
2020-08-13 16:59:59.998,1,2,295.0,24.274462500000002,3.4643210990249633,936.9720898246767,231173.16512924997,4402.777144543611,226770.38798470635,785.6054397294952,0.8384512711328416
2020-08-13 17:59:59.998,1,2,293.812255859375,24.217970599365234,3.3317992821350098,939.5820000000001,231727.01963193933,4072.37803352896,227654.64159841038,758.4995714522867,0.8072734167451979
2020-08-13 18:59:59.998,1,2,290.2482604980469,24.24686185913086,3.1326326550430297,850.8436601753236,231443.76567642076,3600.0569180991315,227843.70875832162,713.7506423024319,0.8388740208222947
2020-08-13 19:59:59.998,1,2,295.0,24.1548046875,3.365342301219177,908.2625800876617,232346.30707509373,4154.788439827653,228191.51863526608,767.9425704427051,0.8455072214563618
2020-08-13 20:59:59.998,1,2,296.2076416015625,24.06969825439453,3.4103856598342897,978.7312500000002,233180.7024601604,4266.7521168012045,228913.95034335917,780.6848535870107,0.7976498692434829
2020-08-13 21:59:59.998,1,2,292.0,24.10105447998047,3.173249694923401,858.6735898246766,232873.28163464429,3694.017253587924,229179.26438105636,727.2430307799565,0.8469376948328462
